"EDD_C22","SPT_sufficient","TT_star","beta_optimal","instance_id","optimal_schedule_count","optimal_schedules","panel"
"True","True","5","True","A_o011_r00243","1","[[1,3,2,4]]","A"
"True","True","9","True","A_o011_r00244","3","[[1,2,3,4],[1,3,2,4],[2,1,3,4]]","A"
"True","True","7","True","A_o011_r00245","1","[[1,3,2,4]]","A"
"True","True","6","True","A_o011_r00249","1","[[3,1,2,4]]","A"
"True","True","11","True","A_o011_r00250","4","[[1,2,3,4],[1,3,2,4],[2,1,3,4],[3,1,2,4]]","A"
"True","True","8","True","A_o011_r00251","1","[[3,1,2,4]]","A"
"True","True","6","True","A_o011_r00253","1","[[2,3,1,4]]","A"
"True","True","7","True","A_o011_r00255","1","[[3,2,1,4]]","A"
"True","True","10","True","A_o011_r00257","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","8","True","A_o011_r00259","1","[[2,3,1,4]]","A"
"True","True","9","True","A_o011_r00261","1","[[3,2,1,4]]","A"
"True","True","3","True","A_o012_r00265","2","[[1,2,3,4],[2,1,3,4]]","A"
"True","True","6","True","A_o012_r00266","2","[[1,2,4,3],[2,1,4,3]]","A"
"True","True","3","True","A_o012_r00267","1","[[1,3,2,4]]","A"
"True","True","8","True","A_o012_r00268","2","[[1,2,4,3],[2,1,4,3]]","A"
"True","True","7","True","A_o012_r00269","1","[[1,3,2,4]]","A"
"True","True","4","True","A_o012_r00273","1","[[3,1,2,4]]","A"
"True","True","10","True","A_o012_r00274","2","[[1,2,4,3],[2,1,4,3]]","A"
"True","True","8","True","A_o012_r00275","1","[[3,1,2,4]]","A"
"True","True","4","True","A_o012_r00277","1","[[2,3,1,4]]","A"
"True","True","5","True","A_o012_r00279","1","[[3,2,1,4]]","A"
"True","True","10","True","A_o012_r00281","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","8","True","A_o012_r00283","1","[[2,3,1,4]]","A"
"True","True","9","True","A_o012_r00285","1","[[3,2,1,4]]","A"
"True","True","3","True","A_o013_r00289","2","[[1,2,3,4],[2,1,3,4]]","A"
"True","True","4","True","A_o013_r00290","2","[[1,2,4,3],[2,1,4,3]]","A"
"True","True","3","True","A_o013_r00291","1","[[1,3,2,4]]","A"
"True","True","7","True","A_o013_r00292","1","[[1,4,2,3]]","A"
"True","True","5","True","A_o013_r00293","1","[[1,3,2,4]]","A"
"True","True","8","True","A_o013_r00294","1","[[1,4,2,3]]","A"
"True","True","4","True","A_o013_r00297","1","[[3,1,2,4]]","A"
"True","True","9","True","A_o013_r00298","1","[[1,4,2,3]]","A"
"True","True","6","True","A_o013_r00299","1","[[3,1,2,4]]","A"
"True","True","10","True","A_o013_r00300","1","[[1,4,2,3]]","A"
"True","True","4","True","A_o013_r00301","1","[[2,3,1,4]]","A"
"True","True","5","True","A_o013_r00303","1","[[3,2,1,4]]","A"
"True","True","10","True","A_o013_r00305","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","6","True","A_o013_r00307","1","[[2,3,1,4]]","A"
"True","True","7","True","A_o013_r00309","1","[[3,2,1,4]]","A"
"True","True","3","True","A_o014_r00313","3","[[1,2,3,4],[1,3,2,4],[2,1,3,4]]","A"
"True","True","4","True","A_o014_r00314","2","[[1,2,4,3],[2,1,4,3]]","A"
"True","True","5","True","A_o014_r00316","1","[[1,4,2,3]]","A"
"True","True","6","True","A_o014_r00318","1","[[1,4,2,3]]","A"
"True","True","4","True","A_o014_r00321","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","9","True","A_o014_r00322","2","[[1,4,2,3],[4,1,2,3]]","A"
"True","True","6","True","A_o014_r00323","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","10","True","A_o014_r00324","2","[[1,4,2,3],[4,1,2,3]]","A"
"True","True","8","True","A_o014_r00329","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","3","True","A_o015_r00337","4","[[1,2,3,4],[1,3,2,4],[2,1,3,4],[3,1,2,4]]","A"
"True","True","4","True","A_o015_r00338","2","[[1,2,4,3],[2,1,4,3]]","A"
"True","True","5","True","A_o015_r00340","1","[[1,4,2,3]]","A"
"True","True","6","True","A_o015_r00342","1","[[1,4,2,3]]","A"
"True","True","7","True","A_o015_r00346","2","[[1,4,2,3],[4,1,2,3]]","A"
"True","True","8","True","A_o015_r00348","2","[[1,4,2,3],[4,1,2,3]]","A"
